year,itl22cd,nc_year,projected_proportion_continuing
2024,TLI3,year_group_11,0.990666752614228
2025,TLI3,year_group_11,0.990666752614228
2026,TLI3,year_group_11,0.990666752614228
2027,TLI3,year_group_11,0.990666752614228
2028,TLI3,year_group_11,0.990666752614228
2029,TLI3,year_group_11,0.990666752614228
2030,TLI3,year_group_11,0.990666752614228
2031,TLI3,year_group_11,0.990666752614228
2032,TLI3,year_group_11,0.990666752614228
2023,TLI4,year_group_11,0.999955090790547
2024,TLI4,year_group_11,0.999955090790547
2025,TLI4,year_group_11,0.999955090790547
2026,TLI4,year_group_11,0.999955090790547
2027,TLI4,year_group_11,0.999955090790547
2028,TLI4,year_group_11,0.999955090790547
2029,TLI4,year_group_11,0.999955090790547
2030,TLI4,year_group_11,0.999955090790547
2031,TLI4,year_group_11,0.999955090790547
2032,TLI4,year_group_11,0.999955090790547
2023,TLI5,year_group_11,0.99851025904117
2024,TLI5,year_group_11,0.99851025904117
2025,TLI5,year_group_11,0.99851025904117
2026,TLI5,year_group_11,0.99851025904117
2027,TLI5,year_group_11,0.99851025904117
2028,TLI5,year_group_11,0.99851025904117
2029,TLI5,year_group_11,0.99851025904117
2030,TLI5,year_group_11,0.99851025904117
2031,TLI5,year_group_11,0.99851025904117
2032,TLI5,year_group_11,0.99851025904117
2023,TLI6,year_group_11,0.993986959196474
2024,TLI6,year_group_11,0.993986959196474
2025,TLI6,year_group_11,0.993986959196474
2026,TLI6,year_group_11,0.993986959196474
2027,TLI6,year_group_11,0.993986959196474
2028,TLI6,year_group_11,0.993986959196474
2029,TLI6,year_group_11,0.993986959196474
2030,TLI6,year_group_11,0.993986959196474
2031,TLI6,year_group_11,0.993986959196474
2032,TLI6,year_group_11,0.993986959196474
2023,TLI7,year_group_11,0.995848406585031
2024,TLI7,year_group_11,0.995848406585031
2025,TLI7,year_group_11,0.995848406585031
2026,TLI7,year_group_11,0.995848406585031
2027,TLI7,year_group_11,0.995848406585031
2028,TLI7,year_group_11,0.995848406585031
2029,TLI7,year_group_11,0.995848406585031
2030,TLI7,year_group_11,0.995848406585031
2031,TLI7,year_group_11,0.995848406585031
2032,TLI7,year_group_11,0.995848406585031
2023,TLJ1,year_group_11,1.00010891555132
2024,TLJ1,year_group_11,1.00010891555132
2025,TLJ1,year_group_11,1.00010891555132
