year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2020,TLD6,year_group_6,10852,10855,0.999723629663749
2020,TLD6,year_group_7,10465,10540,0.992884250474383
2020,TLD6,year_group_8,10663,10703,0.99626273007568
2020,TLD6,year_group_9,10258,10301,0.99582564799534
2021,TLD6,year_group_1,10509,10267,1.02357066329015
2021,TLD6,year_group_10,10358,10258,1.00974848898421
2021,TLD6,year_group_11,9972,10017,0.995507637017071
2021,TLD6,year_group_12,3688,10007,0.36854202058559
2021,TLD6,year_group_13,3460,3769,0.918015388697267
2021,TLD6,year_group_14,3,3395,0.000883652430044183
2021,TLD6,year_group_2,10542,10329,1.02062155097299
2021,TLD6,year_group_3,10525,10340,1.0178916827853
2021,TLD6,year_group_4,10756,10548,1.01971937808115
2021,TLD6,year_group_5,11166,11007,1.01444535295721
2021,TLD6,year_group_6,11061,10929,1.01207795772715
2021,TLD6,year_group_7,10805,10852,0.995669001105787
2021,TLD6,year_group_8,10570,10465,1.01003344481605
2021,TLD6,year_group_9,10700,10663,1.00346994279284
2022,TLD6,year_group_1,10401,10106,1.02919057985355
2022,TLD6,year_group_10,10860,10700,1.01495327102804
2022,TLD6,year_group_11,10357,10358,0.999903456265688
2022,TLD6,year_group_12,3369,9972,0.337845968712395
2022,TLD6,year_group_13,3340,3688,0.905639913232104
2022,TLD6,year_group_14,7,3460,0.00202312138728324
2022,TLD6,year_group_2,10779,10509,1.02569226377391
2022,TLD6,year_group_3,10752,10542,1.0199203187251
2022,TLD6,year_group_4,10769,10525,1.02318289786223
2022,TLD6,year_group_5,10970,10756,1.0198958720714
2022,TLD6,year_group_6,11383,11166,1.01943399605947
2022,TLD6,year_group_7,11017,11061,0.996022059488292
2022,TLD6,year_group_8,10934,10805,1.01193891716798
2022,TLD6,year_group_9,10642,10570,1.00681173131504
2012,TLD4,year_group_1,17132,17098,1.00198853667096
2012,TLD4,year_group_10,15990,15951,1.00244498777506
2012,TLD4,year_group_11,16665,16769,0.993798079790089
2012,TLD4,year_group_12,3392,16310,0.20797057020233
2012,TLD4,year_group_13,2826,3350,0.843582089552239
2012,TLD4,year_group_14,0,2661,0
