gss_code,gss_name,year_ending_date,measure,geography,source,sex,source_url,value
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2015-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,28010
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2016-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,28060
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2016-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,28495
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2017-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,28183
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2017-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,27448
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2018-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,27130
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2018-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,27015
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2019-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,26621
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2019-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,26132
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2020-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,25832
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2020-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,25264
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2021-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,24685
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2021-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,24823
